Serial Number,Filename,Description,Gender,UUID,HASH
21,abdul-the-vibe,abdul the life of the party and can never be caught unfresh,male,770f817a-9d9a-4772-9a91-e66dd9d03470,12470db546566183151b9523a4f465962cb8167ade0ef3ad8369dfe072567d32
22,emeka-the -clown,"emeka the funny man always making silly jokes",male,78810fa6-a7ef-4d83-bf57-caf49db4ee69,88ea7ae390902a807c1d923a8c5978996bd89b98400acb9dd612274aa4e5e862
23,salam-the-odogwu,salam is a big time textile marketer always sourcing for quality materials ,male,f2957ded-022c-4b07-92c6-b345d4816a67,e6f19389cf257b85d9e1402fb5305db00a2fa741a6d36339d3a3d8acbfbcceb2
24,charles-the-exporter,charles a business man an importer and exporter never to be caught idle,male,09395e76-19ed-4852-8748-795ee7496a8e,99202fe0e8270ef64fe0638c1a3afa965da05e824aef2d32e091c7bdef030204
25,wole-the-pimp,wole knows all the babes in town and is always pimping them out,male,4d94d4f7-9b69-4e43-9db1-1fe83df92857,f45eacba037c4902a4cadeeffa6ca649c132156a43f0a927587601483c128d36
26,saro-the-baller,saro is a baller and is always ready to turnup,male,d35a7514-8996-42fb-a5f2-5a603ec679c5,127f982acf9505c03cd898b65c060da99c9308f7683d9760f5723197b8a2b989
27,ade-omo-yoruba,ade a yourba man takes pride in the yourba tribe,male,92984fa0-310b-4377-8a10-15965d044383,1e2aa0258fb28b72dab8b7eef9e82301c8983b23e64c768b6dce9f736bee48ec
28,shola-cool-kid,shola prefers to be alone because he hates stress,male,3ac5c186-bc14-4eb6-8567-cc818465a64f,dea1d6fb31277b1bbf957e0b32c63ebba22afb76006228ff131c04a1ba9e8b85
29,charlie-the-smoker,charlie uses smoking as a coping mechanism ,male,71a0aa22-d111-43b7-8484-43d87310bc42,65a0761c5e1df21e89e06cde882895808995a6107ee796be14ea0d9c23221137
30,femi-the-badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,e493e3fb-a8a0-455a-854f-0f6474bbc69f,6a109b23aaa3b84b20086bed39853255b68957fafd9e0a98004c078de5dbe6ee
31,sinzu-money,sinzu loves spending money on flashy things,male,942f8347-9932-4331-bd15-d0f3a048b54f,bab502c6e9b03c7596daf1ce76032f8f5f1fcf87cc9bb44e39cbb849b2d3e0a5
32,obinna-the-palmwine tapper, obinna taps palmwine for a living,male,0f1af056-2548-4407-bed4-abc11deae05d,92c70c74ea2803b9aca1673331bf5d983c0249273a7338fb9dbd1be3ce57a955
33,aminu-maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,0129e7a5-e3d0-4675-92d0-1a1e55d11612,e28777c182dfc16353f470afc7fb86e3893318077bacef87c6ba03ab1b5522e9
34,sabinus-the-town crier,sabinus delivers messages to his town people,male,01d4ce96-818e-44b1-8813-68a7d34b35ba,503f961d2f83e3e28ade964f78c8fa3cbbb40055b707225553f24aaba4ce39d6
35,adisa-ibadan,"adisa the greatest man in the whole town of ibadan is authority can never be questioned",male,3a925f27-35f6-4dbf-9960-c6527fae5f3e,4ce7629474bba12accc7893938049cc43c571e45bbd256996ccd9fea92841dae
36,linda-the-navigator,linda knows how to make a way for herself and people around her,female,71f335a6-5a4f-4410-9cea-179336f0e498,ec232aaba05c8dd4398f10edaf6ad6d5f9372563c520a5ec1f5ee71e7dd311bd
37,kemi-the-iron lady,kemi the strongest woman known to the town of  igbede people,female,35b11a31-5b92-49f4-8fb1-30f255d22054,953e3b9520072b6e82c89fbd43a7934b45ef518031bef64bc152078de2b96d98
38,mercy-the-sassy lady,mercy only care about spending her father's money and treats people like trash,female,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,90458ee798bfbd37bc9a82c06553ee448460da10cf3a49052be1bf8ec225948f
39,sandra-money,sandra likes getting and spending money ,female,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,c21c40e112f6adaa8b3de23f6382d02a3945f3aef4c76bf0c07960b9320f4d75
40,bimpe-the-fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,92b548b7-998b-46b6-8198-80d407209483,a8ce27b6c7e531e0bbcb411c70ab9a7caab42424efcd31804e77abc827e0fcee
